3i Group,0
Admiral Group,0
Anglo American,0
Antofagasta,0
Ashtead Group,0
AstraZeneca,0
Aviva,7
BAE Systems,0
Barclays,-17
Barratt Developments,2
BHP Billiton,11
BP,-5
British Land Co,0
BT Group,27
Burberry Group,22
Capita,-6
Carnival,13
Centrica,2
Coca-Cola HBC AG,6
Compass Group,4
ConvaTec Group,0
CRH,0
Diageo,0
Direct Line Insurance Group,11
Dixons Carphone,4
easyJet,35
Experian,-8
Fresnillo,0
GKN,0
GlaxoSmithKline,21
Glencore,0
Hammerson,7
Hargreaves Lansdown,0
Hikma Pharmaceuticals,0
HSBC Holdings,36
Imperial Brands,0
Informa,0
InterContinental Hotels Group,3
Intertek Group,0
Intu Properties,0
ITV,677
Johnson Matthey,0
Kingfisher,0
Land Securities Group,0
Legal & General Group,2
Lloyds Banking Group,17
London Stock Exchange Group,0
Marks & Spencer Group,207
Mediclinic International,0
Merlin Entertainments,0
Micro Focus International,6
Morrison (Wm) Supermarkets,240
National Grid,-7
Next,103
Old Mutual,26
Paddy Power Betfair,63
Pearson,2
Persimmon,2
Provident Financial,0
Reckitt Benckiser Group,-4
RELX,0
Rio Tinto,7
Rolls-Royce Holdings,21
Royal Bank of Scotland Group (The),-3
Royal Dutch Shell,34
Royal Mail,-51
RSA Insurance Group,0
Sage Group (The),158
Sainsbury (J),403
Schroders,3
Severn Trent,11
Shire,0
Sky,-9
Smith & Nephew,8
Smiths Group,0
Smurfit Kappa Group,0
SSE,2
Standard Chartered,1
Standard Life,1
Taylor Wimpey,10
Tesco,560
TUI AG,0
Unilever,19
United Utilities Group,5
Vodafone Group,-3
Whitbread,4
Wolseley,2
Worldpay Group,0
WPP,3
