3i Group,0
Admiral Group,0
Anglo American,6
Antofagasta,0
Ashtead Group,0
AstraZeneca,5
Aviva,13
BAE Systems,2
Barclays,22
Barratt Developments,0
BHP Billiton,2
BP,-2
British Land Co,4
BT Group,-1
Burberry Group,29
Capita,6
Carnival,0
Centrica,8
Coca-Cola HBC AG,11
Compass Group,0
ConvaTec Group,0
CRH,0
Diageo,0
Direct Line Insurance Group,5
Dixons Carphone,24
easyJet,-53
Experian,0
Fresnillo,0
GKN,0
GlaxoSmithKline,-5
Glencore,3
Hammerson,0
Hargreaves Lansdown,1
Hikma Pharmaceuticals,0
HSBC Holdings,7
Imperial Brands,0
Informa,0
InterContinental Hotels Group,19
Intertek Group,0
Intu Properties,3
ITV,749
Johnson Matthey,0
Kingfisher,0
Land Securities Group,0
Legal & General Group,4
Lloyds Banking Group,-2
London Stock Exchange Group,4
Marks & Spencer Group,234
Mediclinic International,0
Merlin Entertainments,0
Micro Focus International,0
Morrison (Wm) Supermarkets,230
National Grid,6
Next,111
Old Mutual,9
Paddy Power Betfair,303
Pearson,28
Persimmon,-3
Provident Financial,0
Reckitt Benckiser Group,8
RELX,0
Rio Tinto,-6
Rolls-Royce Holdings,28
Royal Bank of Scotland Group (The),7
Royal Dutch Shell,98
Royal Mail,26
RSA Insurance Group,-10
Sage Group (The),44
Sainsbury (J),308
Schroders,0
Severn Trent,-5
Shire,1
Sky,-97
Smith & Nephew,0
Smiths Group,0
Smurfit Kappa Group,0
SSE,3
Standard Chartered,0
Standard Life,0
Taylor Wimpey,-3
Tesco,425
TUI AG,5
Unilever,36
United Utilities Group,-1
Vodafone Group,-1
Whitbread,0
Wolseley,2
Worldpay Group,0
WPP,3
