3i Group,3
Admiral Group,0
Anglo American,4
Antofagasta,0
Ashtead Group,0
AstraZeneca,62
Aviva,16
BAE Systems,17
Barclays,0
Barratt Developments,22
BHP Billiton,19
BP,16
British Land Co,13
BT Group,51
Burberry Group,43
Capita,8
Carnival,13
Centrica,8
Coca-Cola HBC AG,10
Compass Group,9
ConvaTec Group,0
CRH,0
Diageo,14
Direct Line Insurance Group,16
Dixons Carphone,7
easyJet,99
Experian,-3
Fresnillo,0
GKN,0
GlaxoSmithKline,335
Glencore,0
Hammerson,5
Hargreaves Lansdown,1
Hikma Pharmaceuticals,0
HSBC Holdings,53
Imperial Brands,0
Informa,16
InterContinental Hotels Group,114
Intertek Group,0
Intu Properties,65
ITV,616
Johnson Matthey,0
Kingfisher,0
Land Securities Group,5
Legal & General Group,22
Lloyds Banking Group,34
London Stock Exchange Group,17
Marks & Spencer Group,321
Mediclinic International,0
Merlin Entertainments,0
Micro Focus International,23
Morrison (Wm) Supermarkets,230
National Grid,21
Next,658
Old Mutual,4
Paddy Power Betfair,98
Pearson,73
Persimmon,6
Provident Financial,-2
Reckitt Benckiser Group,11
RELX,4
Rio Tinto,18
Rolls-Royce Holdings,57
Royal Bank of Scotland Group (The),64
Royal Dutch Shell,119
Royal Mail,45
RSA Insurance Group,0
Sage Group (The),155
Sainsbury (J),310
Schroders,3
Severn Trent,25
Shire,6
Sky,-106
Smith & Nephew,2
Smiths Group,0
Smurfit Kappa Group,0
SSE,33
Standard Chartered,-6
Standard Life,25
Taylor Wimpey,-5
Tesco,652
TUI AG,7
Unilever,75
United Utilities Group,37
Vodafone Group,-15
Whitbread,9
Wolseley,7
Worldpay Group,6
WPP,42
