3i Group,6
Admiral Group,0
Anglo American,-3
Antofagasta,0
Ashtead Group,0
AstraZeneca,2
Aviva,37
BAE Systems,12
Barclays,69
Barratt Developments,12
BHP Billiton,4
BP,40
British Land Co,25
BT Group,112
Burberry Group,93
Capita,10
Carnival,18
Centrica,12
Coca-Cola HBC AG,11
Compass Group,24
ConvaTec Group,0
CRH,0
Diageo,49
Direct Line Insurance Group,10
Dixons Carphone,16
easyJet,272
Experian,3
Fresnillo,0
GKN,10
GlaxoSmithKline,155
Glencore,3
Hammerson,5
Hargreaves Lansdown,12
Hikma Pharmaceuticals,4
HSBC Holdings,86
Imperial Brands,4
Informa,25
InterContinental Hotels Group,71
Intertek Group,0
Intu Properties,4
ITV,703
Johnson Matthey,0
Kingfisher,2
Land Securities Group,22
Legal & General Group,12
Lloyds Banking Group,35
London Stock Exchange Group,34
Marks & Spencer Group,321
Mediclinic International,0
Merlin Entertainments,0
Micro Focus International,6
Morrison (Wm) Supermarkets,253
National Grid,16
Next,125
Old Mutual,25
Paddy Power Betfair,215
Pearson,106
Persimmon,32
Provident Financial,4
Reckitt Benckiser Group,6
RELX,2
Rio Tinto,11
Rolls-Royce Holdings,79
Royal Bank of Scotland Group (The),35
Royal Dutch Shell,86
Royal Mail,72
RSA Insurance Group,6
Sage Group (The),107
Sainsbury (J),0
Schroders,14
Severn Trent,13
Shire,0
Sky,-51
Smith & Nephew,9
Smiths Group,2
Smurfit Kappa Group,1
SSE,28
Standard Chartered,0
Standard Life,4
Taylor Wimpey,6
Tesco,679
TUI AG,13
Unilever,70
United Utilities Group,13
Vodafone Group,0
Whitbread,21
Wolseley,7
Worldpay Group,18
WPP,25
