3i Group,0
Admiral Group,0
Anglo American,3
Antofagasta,0
Ashtead Group,0
AstraZeneca,1
Aviva,29
BAE Systems,8
Barclays,7
Barratt Developments,9
BHP Billiton,-2
BP,3
British Land Co,24
BT Group,29
Burberry Group,68
Capita,-1
Carnival,2
Centrica,12
Coca-Cola HBC AG,16
Compass Group,7
ConvaTec Group,0
CRH,0
Diageo,4
Direct Line Insurance Group,27
Dixons Carphone,6
easyJet,122
Experian,5
Fresnillo,0
GKN,13
GlaxoSmithKline,49
Glencore,3
Hammerson,4
Hargreaves Lansdown,11
Hikma Pharmaceuticals,0
HSBC Holdings,2
Imperial Brands,0
Informa,-4
InterContinental Hotels Group,54
Intertek Group,0
Intu Properties,13
ITV,306
Johnson Matthey,0
Kingfisher,0
Land Securities Group,10
Legal & General Group,9
Lloyds Banking Group,39
London Stock Exchange Group,42
Marks & Spencer Group,196
Mediclinic International,0
Merlin Entertainments,0
Micro Focus International,5
Morrison (Wm) Supermarkets,162
National Grid,10
Next,100
Old Mutual,12
Paddy Power Betfair,55
Pearson,13
Persimmon,-5
Provident Financial,0
Reckitt Benckiser Group,54
RELX,1
Rio Tinto,4
Rolls-Royce Holdings,47
Royal Bank of Scotland Group (The),25
Royal Dutch Shell,53
Royal Mail,132
RSA Insurance Group,6
Sage Group (The),98
Sainsbury (J),397
Schroders,5
Severn Trent,18
Shire,5
Sky,-38
Smith & Nephew,9
Smiths Group,0
Smurfit Kappa Group,9
SSE,22
Standard Chartered,-18
Standard Life,5
Taylor Wimpey,7
Tesco,482
TUI AG,1
Unilever,70
United Utilities Group,51
Vodafone Group,16
Whitbread,0
Wolseley,4
Worldpay Group,-5
WPP,2
