3i Group,0
Admiral Group,0
Anglo American,5
Antofagasta,0
Ashtead Group,0
AstraZeneca,0
Aviva,26
BAE Systems,15
Barclays,28
Barratt Developments,26
BHP Billiton,45
BP,35
British Land Co,21
BT Group,30
Burberry Group,114
Capita,14
Carnival,15
Centrica,9
Coca-Cola HBC AG,0
Compass Group,47
ConvaTec Group,0
CRH,0
Diageo,16
Direct Line Insurance Group,21
Dixons Carphone,8
easyJet,48
Experian,1
Fresnillo,0
GKN,15
GlaxoSmithKline,18
Glencore,4
Hammerson,78
Hargreaves Lansdown,9
Hikma Pharmaceuticals,0
HSBC Holdings,22
Imperial Brands,0
Informa,0
InterContinental Hotels Group,38
Intertek Group,0
Intu Properties,15
ITV,563
Johnson Matthey,0
Kingfisher,0
Land Securities Group,5
Legal & General Group,1
Lloyds Banking Group,29
London Stock Exchange Group,8
Marks & Spencer Group,417
Mediclinic International,0
Merlin Entertainments,0
Micro Focus International,1
Morrison (Wm) Supermarkets,336
National Grid,23
Next,57
Old Mutual,8
Paddy Power Betfair,631
Pearson,36
Persimmon,3
Provident Financial,5
Reckitt Benckiser Group,0
RELX,0
Rio Tinto,3
Rolls-Royce Holdings,78
Royal Bank of Scotland Group (The),65
Royal Dutch Shell,94
Royal Mail,-9
RSA Insurance Group,-3
Sage Group (The),96
Sainsbury (J),381
Schroders,0
Severn Trent,8
Shire,19
Sky,-81
Smith & Nephew,5
Smiths Group,0
Smurfit Kappa Group,0
SSE,14
Standard Chartered,36
Standard Life,20
Taylor Wimpey,-24
Tesco,579
TUI AG,7
Unilever,82
United Utilities Group,38
Vodafone Group,-48
Whitbread,11
Wolseley,4
Worldpay Group,11
WPP,7
