3i Group,0
Admiral Group,0
Anglo American,15
Antofagasta,0
Ashtead Group,0
AstraZeneca,0
Aviva,28
BAE Systems,28
Barclays,27
Barratt Developments,10
BHP Billiton,12
BP,21
British Land Co,13
BT Group,25
Burberry Group,62
Capita,12
Carnival,16
Centrica,8
Coca-Cola HBC AG,25
Compass Group,77
ConvaTec Group,3
CRH,0
Diageo,27
Direct Line Insurance Group,19
Dixons Carphone,5
easyJet,59
Experian,29
Fresnillo,0
GKN,24
GlaxoSmithKline,52
Glencore,15
Hammerson,64
Hargreaves Lansdown,13
Hikma Pharmaceuticals,4
HSBC Holdings,79
Imperial Brands,0
Informa,1
InterContinental Hotels Group,3
Intertek Group,0
Intu Properties,9
ITV,574
Johnson Matthey,0
Kingfisher,9
Land Securities Group,8
Legal & General Group,1
Lloyds Banking Group,2
London Stock Exchange Group,40
Marks & Spencer Group,565
Mediclinic International,0
Merlin Entertainments,0
Micro Focus International,2
Morrison (Wm) Supermarkets,331
National Grid,8
Next,115
Old Mutual,17
Paddy Power Betfair,513
Pearson,47
Persimmon,3
Provident Financial,0
Reckitt Benckiser Group,10
RELX,5
Rio Tinto,11
Rolls-Royce Holdings,98
Royal Bank of Scotland Group (The),50
Royal Dutch Shell,138
Royal Mail,35
RSA Insurance Group,24
Sage Group (The),112
Sainsbury (J),613
Schroders,37
Severn Trent,4
Shire,34
Sky,13
Smith & Nephew,0
Smiths Group,6
Smurfit Kappa Group,3
SSE,47
Standard Chartered,11
Standard Life,2
Taylor Wimpey,25
Tesco,681
TUI AG,2
Unilever,91
United Utilities Group,41
Vodafone Group,-9
Whitbread,3
Wolseley,2
Worldpay Group,6
WPP,16
