3i Group,2
Admiral Group,0
Anglo American,7
Antofagasta,0
Ashtead Group,0
AstraZeneca,10
Aviva,14
BAE Systems,13
Barclays,82
Barratt Developments,0
BHP Billiton,-1
BP,40
British Land Co,7
BT Group,13
Burberry Group,38
Capita,-1
Carnival,50
Centrica,0
Coca-Cola HBC AG,12
Compass Group,30
ConvaTec Group,2
CRH,0
Diageo,17
Direct Line Insurance Group,17
Dixons Carphone,0
easyJet,147
Experian,9
Fresnillo,0
GKN,5
GlaxoSmithKline,77
Glencore,9
Hammerson,0
Hargreaves Lansdown,-1
Hikma Pharmaceuticals,0
HSBC Holdings,59
Imperial Brands,2
Informa,2
InterContinental Hotels Group,24
Intertek Group,0
Intu Properties,3
ITV,651
Johnson Matthey,0
Kingfisher,0
Land Securities Group,13
Legal & General Group,2
Lloyds Banking Group,-2
London Stock Exchange Group,22
Marks & Spencer Group,378
Mediclinic International,0
Merlin Entertainments,0
Micro Focus International,16
Morrison (Wm) Supermarkets,137
National Grid,1
Next,93
Old Mutual,13
Paddy Power Betfair,1020
Pearson,100
Persimmon,-3
Provident Financial,0
Reckitt Benckiser Group,-2
RELX,2
Rio Tinto,10
Rolls-Royce Holdings,41
Royal Bank of Scotland Group (The),8
Royal Dutch Shell,142
Royal Mail,120
RSA Insurance Group,-7
Sage Group (The),101
Sainsbury (J),465
Schroders,0
Severn Trent,22
Shire,10
Sky,-34
Smith & Nephew,10
Smiths Group,0
Smurfit Kappa Group,6
SSE,21
Standard Chartered,9
Standard Life,22
Taylor Wimpey,10
Tesco,420
TUI AG,3
Unilever,39
United Utilities Group,40
Vodafone Group,5
Whitbread,14
Wolseley,4
Worldpay Group,10
WPP,15
