3i Group,11
Admiral Group,0
Anglo American,2
Antofagasta,0
Ashtead Group,0
AstraZeneca,6
Aviva,42
BAE Systems,16
Barclays,41
Barratt Developments,17
BHP Billiton,-6
BP,28
British Land Co,2
BT Group,45
Burberry Group,12
Capita,30
Carnival,15
Centrica,1
Coca-Cola HBC AG,3
Compass Group,29
ConvaTec Group,0
CRH,0
Diageo,3
Direct Line Insurance Group,20
Dixons Carphone,12
easyJet,61
Experian,6
Fresnillo,0
GKN,17
GlaxoSmithKline,88
Glencore,2
Hammerson,26
Hargreaves Lansdown,-3
Hikma Pharmaceuticals,0
HSBC Holdings,162
Imperial Brands,3
Informa,1
InterContinental Hotels Group,31
Intertek Group,0
Intu Properties,6
ITV,348
Johnson Matthey,0
Kingfisher,4
Land Securities Group,7
Legal & General Group,12
Lloyds Banking Group,38
London Stock Exchange Group,28
Marks & Spencer Group,-105
Mediclinic International,0
Merlin Entertainments,0
Micro Focus International,6
Morrison (Wm) Supermarkets,93
National Grid,12
Next,640
Old Mutual,24
Paddy Power Betfair,269
Pearson,42
Persimmon,-1
Provident Financial,2
Reckitt Benckiser Group,19
RELX,2
Rio Tinto,0
Rolls-Royce Holdings,15
Royal Bank of Scotland Group (The),66
Royal Dutch Shell,28
Royal Mail,47
RSA Insurance Group,4
Sage Group (The),163
Sainsbury (J),212
Schroders,18
Severn Trent,84
Shire,9
Sky,0
Smith & Nephew,2
Smiths Group,2
Smurfit Kappa Group,2
SSE,19
Standard Chartered,8
Standard Life,10
Taylor Wimpey,9
Tesco,657
TUI AG,5
Unilever,85
United Utilities Group,24
Vodafone Group,-6
Whitbread,-1
Wolseley,2
Worldpay Group,4
WPP,15
