3i Group,0
Admiral Group,0
Anglo American,4
Antofagasta,0
Ashtead Group,0
AstraZeneca,3
Aviva,12
BAE Systems,29
Barclays,23
Barratt Developments,14
BHP Billiton,9
BP,52
British Land Co,17
BT Group,53
Burberry Group,-17
Capita,16
Carnival,29
Centrica,16
Coca-Cola HBC AG,18
Compass Group,59
ConvaTec Group,0
CRH,0
Diageo,16
Direct Line Insurance Group,29
Dixons Carphone,2
easyJet,148
Experian,31
Fresnillo,0
GKN,17
GlaxoSmithKline,77
Glencore,-6
Hammerson,17
Hargreaves Lansdown,5
Hikma Pharmaceuticals,2
HSBC Holdings,-3
Imperial Brands,0
Informa,1
InterContinental Hotels Group,18
Intertek Group,0
Intu Properties,21
ITV,867
Johnson Matthey,0
Kingfisher,0
Land Securities Group,18
Legal & General Group,1
Lloyds Banking Group,4
London Stock Exchange Group,12
Marks & Spencer Group,553
Mediclinic International,0
Merlin Entertainments,0
Micro Focus International,7
Morrison (Wm) Supermarkets,269
National Grid,25
Next,488
Old Mutual,7
Paddy Power Betfair,731
Pearson,56
Persimmon,-4
Provident Financial,6
Reckitt Benckiser Group,-3
RELX,5
Rio Tinto,32
Rolls-Royce Holdings,45
Royal Bank of Scotland Group (The),73
Royal Dutch Shell,82
Royal Mail,118
RSA Insurance Group,6
Sage Group (The),135
Sainsbury (J),647
Schroders,12
Severn Trent,31
Shire,73
Sky,46
Smith & Nephew,0
Smiths Group,2
Smurfit Kappa Group,15
SSE,8
Standard Chartered,9
Standard Life,2
Taylor Wimpey,14
Tesco,562
TUI AG,14
Unilever,91
United Utilities Group,79
Vodafone Group,-11
Whitbread,14
Wolseley,2
Worldpay Group,9
WPP,16
