3i Group,0
Admiral Group,0
Anglo American,-5
Antofagasta,0
Ashtead Group,0
AstraZeneca,0
Aviva,48
BAE Systems,5
Barclays,60
Barratt Developments,19
BHP Billiton,6
BP,21
British Land Co,12
BT Group,36
Burberry Group,67
Capita,-2
Carnival,13
Centrica,7
Coca-Cola HBC AG,13
Compass Group,27
ConvaTec Group,0
CRH,0
Diageo,22
Direct Line Insurance Group,27
Dixons Carphone,14
easyJet,21
Experian,-1
Fresnillo,0
GKN,25
GlaxoSmithKline,41
Glencore,-1
Hammerson,16
Hargreaves Lansdown,13
Hikma Pharmaceuticals,0
HSBC Holdings,91
Imperial Brands,0
Informa,8
InterContinental Hotels Group,43
Intertek Group,0
Intu Properties,23
ITV,668
Johnson Matthey,0
Kingfisher,0
Land Securities Group,20
Legal & General Group,1
Lloyds Banking Group,113
London Stock Exchange Group,23
Marks & Spencer Group,-12
Mediclinic International,0
Merlin Entertainments,0
Micro Focus International,26
Morrison (Wm) Supermarkets,305
National Grid,24
Next,99
Old Mutual,11
Paddy Power Betfair,69
Pearson,75
Persimmon,-5
Provident Financial,1
Reckitt Benckiser Group,5
RELX,3
Rio Tinto,13
Rolls-Royce Holdings,19
Royal Bank of Scotland Group (The),101
Royal Dutch Shell,57
Royal Mail,69
RSA Insurance Group,13
Sage Group (The),96
Sainsbury (J),340
Schroders,5
Severn Trent,50
Shire,9
Sky,-46
Smith & Nephew,0
Smiths Group,0
Smurfit Kappa Group,10
SSE,32
Standard Chartered,67
Standard Life,0
Taylor Wimpey,11
Tesco,553
TUI AG,18
Unilever,37
United Utilities Group,56
Vodafone Group,21
Whitbread,3
Wolseley,8
Worldpay Group,16
WPP,20
