3i Group,0
Admiral Group,0
Anglo American,1
Antofagasta,0
Ashtead Group,0
AstraZeneca,1
Aviva,15
BAE Systems,9
Barclays,33
Barratt Developments,3
BHP Billiton,0
BP,15
British Land Co,16
BT Group,16
Burberry Group,61
Capita,9
Carnival,8
Centrica,13
Coca-Cola HBC AG,4
Compass Group,49
ConvaTec Group,0
CRH,0
Diageo,19
Direct Line Insurance Group,25
Dixons Carphone,20
easyJet,4
Experian,25
Fresnillo,0
GKN,8
GlaxoSmithKline,112
Glencore,2
Hammerson,8
Hargreaves Lansdown,5
Hikma Pharmaceuticals,0
HSBC Holdings,93
Imperial Brands,0
Informa,0
InterContinental Hotels Group,71
Intertek Group,0
Intu Properties,7
ITV,703
Johnson Matthey,0
Kingfisher,0
Land Securities Group,2
Legal & General Group,1
Lloyds Banking Group,46
London Stock Exchange Group,83
Marks & Spencer Group,386
Mediclinic International,0
Merlin Entertainments,0
Micro Focus International,26
Morrison (Wm) Supermarkets,191
National Grid,11
Next,97
Old Mutual,16
Paddy Power Betfair,143
Pearson,66
Persimmon,24
Provident Financial,7
Reckitt Benckiser Group,9
RELX,1
Rio Tinto,7
Rolls-Royce Holdings,35
Royal Bank of Scotland Group (The),18
Royal Dutch Shell,243
Royal Mail,43
RSA Insurance Group,5
Sage Group (The),150
Sainsbury (J),487
Schroders,1
Severn Trent,9
Shire,4
Sky,47
Smith & Nephew,0
Smiths Group,4
Smurfit Kappa Group,0
SSE,36
Standard Chartered,10
Standard Life,1
Taylor Wimpey,5
Tesco,675
TUI AG,-1
Unilever,61
United Utilities Group,7
Vodafone Group,-22
Whitbread,0
Wolseley,15
Worldpay Group,8
WPP,4
