3i Group,2
Admiral Group,12
Anglo American,11
Antofagasta,0
Ashtead Group,0
AstraZeneca,17
Aviva,13
BAE Systems,39
Barclays,88
Barratt Developments,22
BHP Billiton,-10
BP,0
British Land Co,7
BT Group,62
Burberry Group,31
Capita,5
Carnival,16
Centrica,13
Coca-Cola HBC AG,16
Compass Group,45
ConvaTec Group,0
CRH,0
Diageo,46
Direct Line Insurance Group,26
Dixons Carphone,9
easyJet,44
Experian,23
Fresnillo,0
GKN,6
GlaxoSmithKline,132
Glencore,1
Hammerson,43
Hargreaves Lansdown,4
Hikma Pharmaceuticals,0
HSBC Holdings,27
Imperial Brands,-4
Informa,0
InterContinental Hotels Group,32
Intertek Group,0
Intu Properties,-3
ITV,228
Johnson Matthey,0
Kingfisher,12
Land Securities Group,27
Legal & General Group,9
Lloyds Banking Group,-21
London Stock Exchange Group,10
Marks & Spencer Group,247
Mediclinic International,0
Merlin Entertainments,0
Micro Focus International,6
Morrison (Wm) Supermarkets,218
National Grid,12
Next,77
Old Mutual,18
Paddy Power Betfair,175
Pearson,58
Persimmon,5
Provident Financial,0
Reckitt Benckiser Group,0
RELX,2
Rio Tinto,17
Rolls-Royce Holdings,82
Royal Bank of Scotland Group (The),62
Royal Dutch Shell,57
Royal Mail,46
RSA Insurance Group,3
Sage Group (The),56
Sainsbury (J),694
Schroders,5
Severn Trent,47
Shire,14
Sky,7
Smith & Nephew,0
Smiths Group,0
Smurfit Kappa Group,7
SSE,14
Standard Chartered,26
Standard Life,17
Taylor Wimpey,23
Tesco,640
TUI AG,23
Unilever,170
United Utilities Group,45
Vodafone Group,-28
Whitbread,-1
Wolseley,2
Worldpay Group,30
WPP,5
