3i Group,0
Admiral Group,0
Anglo American,2
Antofagasta,0
Ashtead Group,0
AstraZeneca,0
Aviva,23
BAE Systems,12
Barclays,41
Barratt Developments,-4
BHP Billiton,-2
BP,1
British Land Co,22
BT Group,26
Burberry Group,55
Capita,9
Carnival,6
Centrica,15
Coca-Cola HBC AG,10
Compass Group,27
ConvaTec Group,0
CRH,0
Diageo,30
Direct Line Insurance Group,32
Dixons Carphone,21
easyJet,12
Experian,5
Fresnillo,0
GKN,11
GlaxoSmithKline,57
Glencore,0
Hammerson,20
Hargreaves Lansdown,7
Hikma Pharmaceuticals,6
HSBC Holdings,13
Imperial Brands,-3
Informa,0
InterContinental Hotels Group,37
Intertek Group,0
Intu Properties,0
ITV,813
Johnson Matthey,0
Kingfisher,21
Land Securities Group,8
Legal & General Group,17
Lloyds Banking Group,22
London Stock Exchange Group,24
Marks & Spencer Group,352
Mediclinic International,0
Merlin Entertainments,0
Micro Focus International,2
Morrison (Wm) Supermarkets,474
National Grid,3
Next,105
Old Mutual,1
Paddy Power Betfair,158
Pearson,21
Persimmon,2
Provident Financial,5
Reckitt Benckiser Group,58
RELX,0
Rio Tinto,11
Rolls-Royce Holdings,40
Royal Bank of Scotland Group (The),46
Royal Dutch Shell,97
Royal Mail,112
RSA Insurance Group,2
Sage Group (The),108
Sainsbury (J),442
Schroders,8
Severn Trent,41
Shire,3
Sky,44
Smith & Nephew,0
Smiths Group,4
Smurfit Kappa Group,7
SSE,45
Standard Chartered,16
Standard Life,1
Taylor Wimpey,10
Tesco,465
TUI AG,0
Unilever,129
United Utilities Group,18
Vodafone Group,-1
Whitbread,5
Wolseley,2
Worldpay Group,5
WPP,11
