3i Group,0
Admiral Group,0
Anglo American,3
Antofagasta,0
Ashtead Group,0
AstraZeneca,0
Aviva,42
BAE Systems,-3
Barclays,34
Barratt Developments,28
BHP Billiton,3
BP,15
British Land Co,3
BT Group,80
Burberry Group,74
Capita,5
Carnival,5
Centrica,7
Coca-Cola HBC AG,37
Compass Group,45
ConvaTec Group,7
CRH,0
Diageo,7
Direct Line Insurance Group,9
Dixons Carphone,11
easyJet,77
Experian,-4
Fresnillo,0
GKN,10
GlaxoSmithKline,80
Glencore,0
Hammerson,25
Hargreaves Lansdown,10
Hikma Pharmaceuticals,0
HSBC Holdings,10
Imperial Brands,0
Informa,4
InterContinental Hotels Group,12
Intertek Group,0
Intu Properties,3
ITV,491
Johnson Matthey,0
Kingfisher,1
Land Securities Group,19
Legal & General Group,13
Lloyds Banking Group,20
London Stock Exchange Group,4
Marks & Spencer Group,266
Mediclinic International,0
Merlin Entertainments,0
Micro Focus International,-3
Morrison (Wm) Supermarkets,282
National Grid,5
Next,52
Old Mutual,-3
Paddy Power Betfair,41
Pearson,23
Persimmon,-4
Provident Financial,0
Reckitt Benckiser Group,5
RELX,1
Rio Tinto,3
Rolls-Royce Holdings,30
Royal Bank of Scotland Group (The),22
Royal Dutch Shell,103
Royal Mail,-26
RSA Insurance Group,5
Sage Group (The),264
Sainsbury (J),901
Schroders,6
Severn Trent,27
Shire,1
Sky,-30
Smith & Nephew,2
Smiths Group,-1
Smurfit Kappa Group,9
SSE,22
Standard Chartered,25
Standard Life,9
Taylor Wimpey,-2
Tesco,687
TUI AG,21
Unilever,42
United Utilities Group,13
Vodafone Group,5
Whitbread,4
Wolseley,2
Worldpay Group,35
WPP,6
